plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
48055MC,NY,COM,9001639586,7/28/2022,09:23A,DOUBLE PARKING-MIDTOWN COMML,,115,0,0,15,100,0,13,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBQVkZVMFRtYzlQUT09&locationName=_____________________)
34139MM,NY,COM,9001639720,7/28/2022,10:16A,NO PARKING-DAY/TIME LIMITS,,65,0,0,40,25,0,13,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBQVkdONVRVRTlQUT09&locationName=_____________________)
ERE5795,NY,PAS,4788470755,7/25/2022,01:59P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OUkdNeFRsRTlQUT09&locationName=_____________________)
KGY6560,NY,PAS,9001639770,7/28/2022,11:09A,NO PARKING-STREET CLEANING,,65,0,0,0,65,0,13,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBQVkdNelRVRTlQUT09&locationName=_____________________)
KWR2347,NY,PAS,4788470767,7/25/2022,01:59P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OUkdNeVRuYzlQUT09&locationName=_____________________)
10274AL,NY,AGR,9001639744,7/28/2022,10:32A,NO PARKING-DAY/TIME LIMITS,,65,0,0,40,25,0,13,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBQVkdNd1RrRTlQUT09&locationName=_____________________)
KVR9529,NY,PAS,9001639768,7/28/2022,11:08A,NO PARKING-STREET CLEANING,,65,0,0,0,65,0,13,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXWHBQVkdNeVQwRTlQUT09&locationName=_____________________)
NSJS48,FL,PAS,8969399410,2/6/2022,06:59A,NO PARKING-DAY/TIME LIMITS,,60,0,0,0,60,0,49,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVUVFZQVkZGNFRVRTlQUT09&locationName=_____________________)
BLANKPLATE,99,999,1493094350,9/14/2023,11:14P,FRONT OR BACK PLATE MISSING,,65,10,0,0,0,75,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkUweFRVRTlQUT09&locationName=_____________________)
BLANKPLATE,99,999,1493094361,9/14/2023,11:17P,INSP. STICKER-EXPIRED/MISSING,,65,10,0,0,0,75,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkUweVRWRTlQUT09&locationName=_____________________)
KHM5873,NY,PAS,5124630462,11/24/2022,04:51P,FAILURE TO STOP AT RED LIGHT,3/2/2023,50,25,3.42,0.02,78.4,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNUVXWHBOUkZFeVRXYzlQUT09&locationName=_____________________)
JED3480,NY,PAS,4857169526,8/13/2023,07:49A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZSVEpQVkZWNVRtYzlQUT09&locationName=_____________________)
47595MK,NY,COM,8919183818,2/10/2022,02:20P,INSP. STICKER-EXPIRED/MISSING,,65,30,0,0,95,0,5,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJOZW1kNFQwRTlQUT09&locationName=_____________________)
046P27,NV,PAS,4788471036,7/25/2022,02:02P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkVGNlRtYzlQUT09&locationName=_____________________)
NACR55,FL,PAS,4788471103,7/25/2022,02:02P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkVWM1RYYzlQUT09&locationName=_____________________)
T770319C,NY,OMT,4788470950,7/25/2022,02:01P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OUkdzeFRVRTlQUT09&locationName=_____________________)
GRU4587,NY,PAS,4788471152,7/25/2022,02:03P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkVVeFRXYzlQUT09&locationName=_____________________)
68758MH,NY,COM,9001645768,7/22/2022,02:53P,DOUBLE PARKING-MIDTOWN COMML,,115,0,0,115,0,0,18,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPVkdNeVQwRTlQUT09&locationName=_____________________)
KPW7033,NY,PAS,5128580490,7/1/2023,07:45A,FAILURE TO STOP AT RED LIGHT,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkZFMVRVRTlQUT09&locationName=_____________________)
81916MA,NY,COM,9001645331,7/20/2022,02:17P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,5,60,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPVkUxNlRWRTlQUT09&locationName=_____________________)
KMA3394,NY,OMS,8950317760,1/28/2022,01:11P,NO PARKING-DAY/TIME LIMITS,,60,0,0,0,60,0,28,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGhPZW1NeVRVRTlQUT09&locationName=_____________________)
XFEE58,NJ,PAS,8950318453,2/3/2022,01:50P,NO PARKING-DAY/TIME LIMITS,,65,0,0,40,25,0,20,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGhQUkZFeFRYYzlQUT09&locationName=_____________________)
KHL7658,NY,PAS,4827643076,2/18/2023,05:30P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNTZXVEJOZWtFelRtYzlQUT09&locationName=_____________________)
DPT3081,NY,PAS,4827643106,2/18/2023,05:30P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNTZXVEJOZWtWM1RtYzlQUT09&locationName=_____________________)
HFM5432,NY,PAS,2011024808,3/23/2023,11:49A,NO PARKING-STREET CLEANING,,65,0,0,0,65,0,114,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkdkM1QwRTlQUT09&locationName=_____________________)
HDD4995,NY,PAS,8919185244,2/17/2022,02:38P,NO STANDING-COMM METER ZONE,,115,30,0,0,145,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPVkVrd1RrRTlQUT09&locationName=_____________________)
XLZF49,NJ,PAS,9001645963,7/23/2022,08:38A,FAIL TO DSPLY MUNI METER RECPT,,65,0,0,0,65,0,18,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPVkdzeVRYYzlQUT09&locationName=_____________________)
JPZ3903,NY,PAS,4788471322,7/25/2022,02:04P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUxNVRXYzlQUT09&locationName=_____________________)
RDB872,NY,ORG,4788471310,7/25/2022,02:04P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUxNFRVRTlQUT09&locationName=_____________________)
34739NC,NY,COM,8919185049,2/17/2022,12:15P,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPVkVFd1QxRTlQUT09&locationName=_____________________)
KEL6707,NY,PAS,4788471358,7/25/2022,02:04P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUweFQwRTlQUT09&locationName=_____________________)
HSK7639,NY,PAS,4788471334,7/25/2022,02:04P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUxNlRrRTlQUT09&locationName=_____________________)
LDA9980,NY,PAS,1493094373,9/15/2023,12:07A,FIRE HYDRANT,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkUwelRYYzlQUT09&locationName=_____________________)
G14PUR,NJ,PAS,5128580556,7/1/2023,07:47A,FAILURE TO STOP AT RED LIGHT,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkZVeFRtYzlQUT09&locationName=_____________________)
LAO2728,NY,PAS,1493094427,7/27/2023,07:14P,DOUBLE PARKING,,115,10,0,0,0,125,52,,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkZGNVRuYzlQUT09&locationName=_____________________)
KSZ7839,NY,PAS,8919185840,2/19/2022,05:41P,NO STANDING-EXC. TRUCK LOADING,,95,0,0,0,95,0,1,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPVkdjd1RVRTlQUT09&locationName=_____________________)
99898ML,NY,COM,8919188129,3/2/2022,10:54A,NO PARKING-DAY/TIME LIMITS,,65,0,0,0,65,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJQUkVWNVQxRTlQUT09&locationName=_____________________)
24183ML,NY,COM,4788471371,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUwelRWRTlQUT09&locationName=_____________________)
KTT4322,NY,PAS,8919187630,2/28/2022,02:30P,NO STANDING-EXC. TRUCK LOADING,7/28/2022,95,60,0.81,0,155.81,0,9,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPZWxsNlRVRTlQUT09&locationName=_____________________)
88635ML,NY,COM,9001646098,7/26/2022,08:29A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,0,65,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPYWtFMVQwRTlQUT09&locationName=_____________________)
79013MN,NY,COM,8919186080,2/21/2022,02:40P,FAIL TO DISP. MUNI METER RECPT,,65,30,0,0,95,0,1,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPYWtFMFRVRTlQUT09&locationName=_____________________)
59041MJ,NY,COM,8919185852,2/21/2022,12:27P,DOUBLE PARKING,,115,0,0,0,115,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJPVkdjeFRXYzlQUT09&locationName=_____________________)
HCZ2121,NY,PAS,8992782184,7/30/2021,09:23A,INSP. STICKER-EXPIRED/MISSING,,65,10,0,0,75,0,90,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFZelJOYWtVMFRrRTlQUT09&locationName=_____________________)
XBHV70,NJ,PAS,8919188531,3/3/2022,11:43A,NO PARKING-DAY/TIME LIMITS,,65,0,0,0,65,0,9,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJQUkZWNlRWRTlQUT09&locationName=_____________________)
HOPE33,NY,ORG,4864297381,9/21/2023,06:07P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVTVFZPZWswMFRWRTlQUT09&locationName=_____________________)
KHM9579,NY,PAS,4857169563,8/13/2023,07:49A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZSVEpQVkZVeVRYYzlQUT09&locationName=_____________________)
LDL2727,NY,OMS,4865175945,9/23/2023,09:18P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PVkdzd1RsRTlQUT09&locationName=_____________________)
BB59764,CT,PAS,8950319780,2/11/2022,01:56P,FIRE HYDRANT,,115,0,0,0,115,0,32,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGhQVkdNMFRVRTlQUT09&locationName=_____________________)
NF1F76,FL,PAS,1493094439,7/27/2023,06:36P,DOUBLE PARKING,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkZGNlQxRTlQUT09&locationName=_____________________)
GCU6088,NY,PAS,5128580684,7/1/2023,07:54A,FAILURE TO STOP AT RED LIGHT,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkZrMFRrRTlQUT09&locationName=_____________________)
JPE4740,NY,PAS,4788471401,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZGM1RWRTlQUT09&locationName=_____________________)
JLE6271,NY,PAS,8969403899,3/9/2021,06:38A,FRONT OR BACK PLATE MISSING,,65,0,0,0,65,0,45,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVVWGROZW1jMVQxRTlQUT09&locationName=_____________________)
KNC7098,NY,PAS,4788471413,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZGNFRYYzlQUT09&locationName=_____________________)
KVZ9258,NY,PAS,5128580659,7/1/2023,07:53A,FAILURE TO STOP AT RED LIGHT,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkZreFQxRTlQUT09&locationName=_____________________)
GMV9686,NY,PAS,4788471383,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUwMFRYYzlQUT09&locationName=_____________________)
KMB9682,NY,PAS,4788471450,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZFeFRVRTlQUT09&locationName=_____________________)
KVG1960,NY,PAS,4788471395,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkUwMVRsRTlQUT09&locationName=_____________________)
86609MB,NY,COM,9001646190,7/26/2022,10:55A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,25,40,0,18,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPYWtVMVRVRTlQUT09&locationName=_____________________)
BF13127,CT,PAS,8950320370,2/15/2022,05:46P,NO STANDING-EXC. TRUCK LOADING,,95,0,0,0,95,0,28,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkUwelRVRTlQUT09&locationName=_____________________)
JMF6227,NY,PAS,8950320356,2/15/2022,03:56P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,28,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkUweFRtYzlQUT09&locationName=_____________________)
BE99679,CT,PAS,8950320496,2/16/2022,01:58P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,0,35,0,34,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkZFMVRtYzlQUT09&locationName=_____________________)
KJB1902,NY,OMS,8950320228,2/15/2022,01:36P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,28,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkVsNVQwRTlQUT09&locationName=_____________________)
59041MJ,NY,COM,8919188865,3/4/2022,12:02P,DOUBLE PARKING,,115,0,0,0,115,0,1,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFJQUkdjeVRsRTlQUT09&locationName=_____________________)
HAE6494,NY,PAS,4788471504,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZWM1RrRTlQUT09&locationName=_____________________)
50484MC,NY,COM,9001646281,7/27/2022,07:59A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,25,40,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPYWtrMFRWRTlQUT09&locationName=_____________________)
KZK5543,NY,PAS,4865176172,9/23/2023,09:36P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PYWtVelRXYzlQUT09&locationName=_____________________)
64068PC,NY,IRP,5128580763,7/1/2023,08:05A,FAILURE TO STOP AT RED LIGHT,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkdNeVRYYzlQUT09&locationName=_____________________)
LJL0567,PA,PAS,8585269200,6/15/2022,02:50P,NO STANDING-COMM METER ZONE,9/29/2022,115,60,10.52,0.22,185.3,0,17,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNVVTVEpQVkVsM1RVRTlQUT09&locationName=_____________________)
KER3990,NY,PAS,8950320861,2/17/2022,01:40P,EXPIRED MUNI METER,,35,0,0,0,35,0,33,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkdjeVRWRTlQUT09&locationName=_____________________)
KFJ1572,NY,PAS,8950320940,2/18/2022,01:07P,FIRE HYDRANT,,115,0,0,0,115,0,28,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkdzd1RVRTlQUT09&locationName=_____________________)
XJJA29,NJ,PAS,8950320800,2/17/2022,01:26P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,0,35,0,33,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVUWGxOUkdkM1RVRTlQUT09&locationName=_____________________)
KDA6646,NY,PAS,4865176147,9/23/2023,09:35P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PYWtVd1RuYzlQUT09&locationName=_____________________)
JKHE85,FL,PAS,4865176135,9/23/2023,09:34P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PYWtWNlRsRTlQUT09&locationName=_____________________)
LJJ3216,PA,PAS,1493094464,9/3/2023,12:36A,DOUBLE PARKING,,115,10,0,0,0,125,52,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZPUkZFeVRrRTlQUT09&locationName=_____________________)
HTC5621,NY,PAS,4788471498,7/25/2022,02:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0,25,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZFMVQwRTlQUT09&locationName=_____________________)
HAL4950,NY,PAS,8919190823,3/12/2022,11:21A,REG. STICKER-EXPIRED/MISSING,7/28/2022,65,60,1.16,0.22,125.94,0,5,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFZOUkdkNVRYYzlQUT09&locationName=_____________________)
XX165A,NJ,PAS,8919191645,3/16/2022,02:51P,NO PARKING-DAY/TIME LIMITS,,65,0,0,65,0,0,1,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFZOVkZrd1RsRTlQUT09&locationName=_____________________)
53679ME,NY,COM,8919191244,3/15/2022,10:29A,FAIL TO DSPLY MUNI METER RECPT,7/28/2022,65,60,0.99,0,125.99,0,6,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFZOVkVrd1RrRTlQUT09&locationName=_____________________)
JGL5975,NY,PAS,4788471565,7/25/2022,02:06P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZVeVRsRTlQUT09&locationName=_____________________)
KHM3136,NY,PAS,4788471541,7/25/2022,02:06P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVE5OVkZVd1RWRTlQUT09&locationName=_____________________)
2439742,IN,PAS,8919192297,3/19/2022,07:32A,NO STANDING-BUS STOP,,115,0,0,0,115,0,9,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFZOYWtrMVRuYzlQUT09&locationName=_____________________)
38147MH,NY,COM,8919192080,3/18/2022,10:29A,NO PARKING-DAY/TIME LIMITS,7/28/2022,65,60,0.18,0.12,125.06,0,1,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVSVFZOYWtFMFRVRTlQUT09&locationName=_____________________)
HYT3181,NY,PAS,4865176196,9/23/2023,09:36P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PYWtVMVRtYzlQUT09&locationName=_____________________)
69300ML,NY,COM,9001646360,7/27/2022,09:27A,NO STANDING-TAXI STAND,,115,0,0,0,115,0,14,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEJPYWsweVRVRTlQUT09&locationName=_____________________)
